,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Kansas
11,Kentucky
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,North Carolina
25,North Dakota
26,Oklahoma
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,West Virginia
36,Wisconsin
37,Wyoming
