iter	MultiRMSE
0	15921.77095
1	15592.41068
2	15298.07079
3	15009.95523
4	14722.88674
5	14441.92126
6	14171.30182
7	13909.03715
8	13662.00193
9	13406.22104
10	13158.96836
11	12939.39306
12	12718.59133
13	12499.51689
14	12283.95668
15	12063.7555
16	11865.03015
17	11678.78955
18	11494.80072
19	11315.00918
20	11153.4277
21	10984.79654
22	10815.91528
23	10660.86736
24	10520.46907
25	10372.90146
26	10231.69445
27	10088.35275
28	9959.268492
29	9845.497367
30	9726.417263
31	9605.39801
32	9488.135532
33	9380.331283
34	9275.441366
35	9169.401812
36	9069.266736
37	8986.282473
38	8889.953126
39	8800.730337
40	8701.13785
41	8606.287414
42	8526.571684
43	8449.078408
44	8366.002981
45	8286.926685
46	8213.043853
47	8138.13758
48	8060.930475
49	7991.580916
50	7917.545851
51	7858.571809
52	7798.121586
53	7738.098147
54	7676.148591
55	7623.153614
56	7574.191905
57	7513.357026
58	7451.321291
59	7405.280826
60	7353.948015
61	7311.947132
62	7267.346925
63	7233.053202
64	7197.070102
65	7151.050807
66	7112.136481
67	7062.852305
68	7014.090408
69	6974.409097
70	6932.85182
71	6902.516387
72	6863.9886
73	6829.157191
74	6797.52944
75	6767.515567
76	6733.341783
77	6707.739612
78	6680.833118
79	6652.862711
80	6631.531443
81	6611.104484
82	6581.565471
83	6558.120594
84	6533.301961
85	6515.078827
86	6497.778575
87	6464.242293
88	6437.288253
89	6405.437144
90	6388.904873
91	6357.796315
92	6330.877804
93	6308.441391
94	6288.545252
95	6269.659993
96	6253.482305
97	6236.702077
98	6221.224211
99	6205.51069
100	6187.077674
101	6174.334923
102	6159.279487
103	6143.833059
104	6123.809121
105	6100.071839
106	6078.615954
107	6064.118006
108	6049.681499
109	6036.397371
110	6022.696351
111	5999.279195
112	5985.262044
113	5973.408177
114	5965.212942
115	5943.633274
116	5934.393205
117	5926.041385
118	5916.905571
119	5905.214703
120	5900.242429
121	5883.790945
122	5871.735201
123	5863.702767
124	5853.50409
125	5844.0164
126	5837.889507
127	5828.247253
128	5816.21232
129	5804.200637
130	5794.49295
131	5785.346381
132	5776.425694
133	5765.642839
