iter	MultiRMSE
134	5751.710787
135	5743.49457
136	5733.933649
137	5726.613592
138	5715.006293
139	5705.618841
140	5697.622801
141	5687.308528
142	5679.020909
143	5671.623833
144	5662.003789
145	5652.133726
146	5635.912756
147	5621.224344
148	5611.356933
149	5603.256177
150	5597.720033
151	5584.491142
152	5570.165656
153	5562.044976
154	5557.167369
155	5546.687915
156	5538.338083
157	5531.722643
158	5525.815379
159	5516.547873
160	5510.997825
161	5504.90236
162	5498.14551
163	5492.090054
164	5486.98001
165	5475.52988
166	5468.421629
167	5457.029732
168	5450.740543
169	5444.87364
170	5433.402408
171	5428.549273
172	5418.946139
173	5411.1144
174	5404.555264
175	5398.718935
176	5393.30473
177	5386.999342
178	5380.700164
179	5374.294128
180	5368.493928
181	5363.079032
182	5358.876534
183	5356.345265
184	5346.417199
185	5342.338071
186	5338.547812
187	5332.802961
188	5326.601923
189	5313.02681
190	5308.846673
191	5304.087852
192	5298.776567
193	5295.486495
194	5285.62438
195	5281.857096
196	5278.112236
197	5275.389111
198	5270.610602
199	5267.136125
200	5258.618958
201	5250.34768
202	5245.053553
203	5241.109603
204	5233.973913
205	5228.578351
206	5223.097129
207	5218.856158
208	5212.889925
209	5207.743428
210	5202.924675
211	5196.299477
212	5187.548377
213	5184.493307
214	5179.535165
215	5175.902788
216	5169.998127
217	5165.110044
218	5161.267439
219	5153.515236
220	5150.366025
221	5142.925565
222	5138.75105
223	5134.390863
224	5127.564201
225	5124.237447
226	5119.420727
227	5115.300888
228	5113.622144
229	5108.552907
230	5105.308505
231	5100.185587
232	5096.598163
233	5092.968791
234	5089.000047
235	5082.492285
236	5077.20005
237	5072.717458
238	5067.008698
239	5062.215846
240	5057.817169
241	5055.461921
242	5050.941361
243	5048.497904
244	5040.654397
245	5031.067821
246	5027.32884
247	5021.000243
248	5019.535646
249	5012.756027
250	5006.8156
251	5001.447523
252	4998.082648
253	4990.358212
254	4983.900055
255	4979.552666
256	4970.034708
257	4966.993723
258	4963.148049
259	4960.302013
260	4955.675951
261	4952.45787
262	4949.348999
263	4946.775856
264	4944.390045
265	4936.326566
266	4930.040021
267	4926.708477
268	4922.659773
269	4917.926431
270	4910.904018
271	4902.2793
272	4898.142944
273	4891.972831
274	4888.220286
275	4881.415108
276	4877.601583
277	4874.380412
278	4864.165029
279	4861.675154
280	4860.179572
281	4858.355283
282	4854.855034
283	4849.781903
284	4843.957779
285	4841.520401
286	4837.742113
287	4831.474699
288	4828.350907
289	4821.148296
290	4818.173988
291	4815.074183
292	4812.103015
293	4810.068293
294	4805.109757
295	4802.922577
296	4800.074679
297	4796.92708
298	4792.522454
299	4790.037281
300	4787.817554
301	4784.627087
302	4779.848952
303	4775.510765
304	4771.33865
305	4768.768718
306	4764.402403
307	4759.779045
308	4754.06663
309	4745.811315
310	4738.530203
311	4732.646885
312	4727.434938
313	4719.456816
314	4715.751362
315	4708.237138
316	4704.699763
317	4702.003751
318	4696.243336
319	4692.037683
320	4690.67961
321	4685.242661
322	4683.017932
323	4680.710559
324	4671.305041
325	4666.258392
326	4659.904254
327	4655.159402
328	4652.290306
329	4644.029889
330	4637.314664
331	4635.193103
332	4630.601636
333	4627.332231
334	4625.548921
335	4621.516357
336	4619.622073
337	4616.21067
338	4613.690661
339	4610.082472
340	4608.477663
341	4605.645985
342	4599.966456
343	4598.340349
344	4594.394439
345	4592.54599
346	4587.884108
347	4585.719547
348	4580.653929
349	4577.595698
350	4570.491972
351	4562.438632
352	4557.997716
353	4554.294712
354	4552.220569
355	4550.11276
356	4542.156339
357	4538.948115
358	4537.043453
359	4532.269807
360	4529.329669
361	4525.509518
362	4521.726953
363	4516.641592
364	4515.343608
365	4511.57986
366	4509.319089
367	4507.215849
368	4505.194006
369	4503.225541
370	4501.28245
371	4500.170626
372	4498.125561
373	4496.934801
374	4493.923174
375	4491.030849
376	4487.465085
377	4483.549336
378	4482.412715
379	4481.092672
380	4479.172962
381	4478.194713
382	4475.019865
383	4473.645615
384	4471.135874
385	4466.735513
386	4464.216409
387	4461.7382
388	4454.945519
389	4449.59715
390	4447.030037
391	4444.766618
392	4438.886936
393	4436.244091
394	4430.128689
395	4428.896062
396	4425.906765
397	4419.746434
398	4417.957716
399	4414.338263
400	4412.542033
401	4408.678945
402	4406.199495
403	4403.3474
404	4397.997748
405	4393.855098
406	4392.622206
407	4391.581415
408	4390.756001
409	4387.363744
410	4385.2662
411	4382.925384
412	4380.994897
413	4377.844573
414	4372.90528
415	4370.219566
416	4367.928117
417	4366.009095
418	4365.040388
419	4363.380024
420	4360.341713
421	4357.315
422	4354.701527
423	4351.780967
424	4350.127283
425	4348.893974
426	4346.251213
427	4345.020167
428	4343.084882
429	4341.090232
430	4339.808122
431	4337.286829
432	4335.00481
433	4333.891762
434	4328.997067
435	4327.301854
436	4324.799322
437	4322.596579
438	4317.72256
439	4315.899156
440	4314.868057
441	4312.982632
442	4310.912915
443	4307.493293
444	4305.745152
445	4302.003777
446	4300.233745
447	4295.998244
448	4295.092347
449	4293.855689
450	4291.422191
451	4289.716002
452	4288.057256
453	4284.670775
454	4282.861224
455	4281.289077
456	4279.196937
457	4276.648374
458	4275.37615
459	4270.511862
460	4267.808544
461	4262.674194
462	4261.633504
463	4259.288527
464	4257.963814
465	4256.486457
466	4255.1286
467	4252.999413
468	4249.508609
469	4247.486172
470	4244.448282
471	4241.321797
472	4239.192614
473	4234.557398
474	4233.599162
475	4232.281744
476	4229.266282
477	4225.363907
478	4222.379078
479	4220.28729
480	4217.632315
481	4215.811202
482	4213.680891
483	4209.584287
484	4208.130326
485	4205.111434
486	4203.398917
487	4199.634136
488	4198.518241
489	4196.807461
490	4194.864115
491	4191.21124
492	4185.491706
493	4181.854572
494	4177.026893
495	4174.920131
496	4173.228365
497	4171.547904
498	4170.332044
499	4168.129663
500	4166.324094
501	4164.663343
502	4163.688547
503	4162.750266
504	4160.017926
505	4157.78157
506	4155.638354
507	4152.82635
508	4150.387796
509	4147.262918
510	4144.754944
511	4140.105078
512	4136.498367
513	4133.667169
514	4132.658254
515	4131.874255
516	4129.430236
517	4128.536396
518	4126.116699
519	4124.755668
520	4123.805947
521	4122.549527
522	4118.084581
523	4114.685106
524	4113.1954
525	4110.832823
526	4108.342446
527	4105.411692
528	4103.36247
529	4101.761562
530	4099.105047
531	4097.57536
532	4096.872196
533	4095.07781
534	4094.127668
535	4092.725039
536	4089.991398
537	4089.041544
538	4087.510766
539	4085.723882
540	4082.453174
541	4081.423759
542	4077.539718
543	4076.664414
544	4072.845218
545	4071.362901
546	4070.508918
547	4067.598385
548	4064.00479
549	4061.218295
550	4058.803543
551	4056.9067
552	4055.855615
553	4053.010186
554	4048.017584
555	4046.809449
556	4045.335948
557	4043.103417
558	4042.274994
559	4040.279102
560	4039.752099
561	4038.203613
562	4037.187036
563	4033.362533
564	4031.840648
565	4029.990346
566	4026.398204
567	4025.562654
568	4023.434922
569	4021.262488
570	4019.797254
571	4018.415561
572	4017.126532
573	4016.203588
574	4013.638666
575	4012.400598
576	4010.983113
577	4010.060567
578	4007.511768
579	4006.228765
580	4005.414933
581	4004.016353
582	4002.444682
583	4001.320688
584	3999.678377
585	3996.880642
586	3995.148347
587	3992.884237
588	3991.788477
589	3990.222699
590	3987.79256
591	3985.953813
592	3983.235631
593	3981.751903
594	3980.515595
595	3978.941393
596	3978.316614
597	3977.749161
598	3975.161838
599	3973.625537
600	3972.598716
601	3971.689702
602	3969.671526
603	3969.069395
604	3968.622263
605	3968.090585
606	3965.264098
607	3963.739534
608	3962.052413
609	3961.507813
610	3958.819171
611	3957.167829
612	3955.492118
613	3953.290862
614	3952.337063
615	3951.581397
616	3949.796118
617	3949.118957
618	3947.198313
619	3946.251471
620	3944.408511
621	3943.060745
622	3942.46205
623	3940.851252
624	3937.370815
625	3935.494878
626	3931.612308
627	3930.169357
628	3928.941239
629	3926.749753
630	3926.179
631	3923.091713
632	3921.726405
633	3920.208662
634	3919.384703
635	3917.753158
636	3915.811728
637	3914.385564
638	3913.913447
639	3912.72801
640	3910.173838
641	3909.593186
642	3908.867208
643	3907.754072
644	3906.655416
645	3905.290538
646	3903.070298
647	3901.37862
648	3900.867401
649	3898.619636
650	3896.548679
651	3894.804934
652	3892.96076
653	3889.343296
654	3888.501857
655	3886.45926
656	3885.718835
657	3883.961865
658	3882.821928
659	3882.34345
660	3879.862683
661	3878.703767
662	3877.720307
663	3876.803957
664	3873.734956
665	3872.305802
666	3871.4607
667	3870.339929
668	3867.069865
669	3866.146908
670	3865.286087
671	3864.214942
672	3861.600347
673	3859.611216
674	3858.769908
675	3857.688919
676	3854.146222
677	3852.916257
678	3852.060883
679	3850.068053
680	3849.043234
681	3848.228883
682	3846.159499
683	3845.648348
684	3844.558496
685	3843.08333
686	3841.416961
687	3839.436353
688	3839.079903
689	3837.003625
690	3835.938993
691	3834.565664
692	3831.936027
693	3830.875352
694	3829.593208
695	3828.718071
696	3827.560556
697	3826.531237
698	3825.910481
699	3824.843694
700	3824.047696
701	3823.12091
702	3821.648072
703	3820.849585
704	3819.975109
705	3819.282176
706	3818.493537
707	3816.989268
708	3815.419413
709	3814.768993
710	3814.063214
711	3812.561806
712	3811.353844
713	3809.353753
714	3808.199842
715	3807.563792
716	3806.021186
717	3804.524194
718	3802.656509
719	3801.198998
720	3799.042202
721	3798.224578
722	3796.164088
723	3793.700063
724	3791.500172
725	3790.005045
726	3788.986368
727	3787.683136
728	3786.907691
729	3785.918454
730	3785.335284
731	3783.980854
732	3782.477432
733	3781.641427
734	3781.140812
735	3779.709052
736	3778.545019
737	3777.261022
738	3775.223359
739	3773.481452
740	3772.705783
741	3771.751005
742	3770.776014
743	3769.58745
744	3767.536841
745	3765.449863
746	3764.821104
747	3764.049344
748	3762.389616
749	3761.59778
750	3760.695006
751	3759.109734
752	3758.46528
753	3757.48964
754	3756.306809
755	3755.735087
756	3754.324313
757	3753.71576
758	3752.525824
759	3751.834189
760	3750.274815
761	3749.494123
762	3748.001697
763	3747.327711
764	3746.514627
765	3744.80357
766	3743.790003
767	3742.935142
768	3741.712826
769	3740.713311
770	3738.249253
771	3737.594652
772	3736.587213
773	3735.847783
774	3734.801031
775	3733.968912
776	3732.644166
777	3730.277162
778	3729.763696
779	3727.534613
780	3726.920247
781	3726.129497
782	3725.052185
783	3724.634683
784	3723.574454
785	3723.114075
786	3722.686157
787	3719.972138
788	3718.99596
789	3717.715021
790	3715.900994
791	3715.287783
792	3712.623047
793	3711.985792
794	3710.971578
795	3710.613602
796	3709.921036
797	3708.276319
798	3707.004694
799	3706.494453
800	3705.596928
801	3703.242474
802	3701.779606
803	3699.899193
804	3699.60735
805	3698.89905
806	3697.755981
807	3696.733118
808	3695.60523
809	3695.142148
810	3692.883008
811	3691.931451
812	3691.390126
813	3689.981566
814	3688.981375
815	3686.699257
816	3684.607476
817	3683.721915
818	3682.691514
819	3681.79583
820	3680.751669
821	3679.765442
822	3678.611439
823	3677.156605
824	3676.43215
825	3674.704922
826	3673.546709
827	3672.35142
828	3671.830039
829	3669.781968
830	3668.153345
831	3667.128092
832	3665.54924
833	3664.816725
834	3663.671982
835	3663.105489
836	3661.83137
837	3660.409652
838	3659.326024
839	3657.696755
840	3656.241759
841	3655.557827
842	3654.982583
843	3654.01536
844	3652.092893
845	3651.030056
846	3650.615781
847	3649.788671
848	3648.890903
849	3648.328919
850	3647.280873
851	3646.330389
852	3645.515052
853	3644.964195
854	3642.771211
855	3642.092679
856	3641.276617
857	3640.967492
858	3640.382449
859	3638.77495
860	3638.565915
861	3637.699163
862	3635.480957
863	3634.653033
864	3633.495631
865	3631.391651
866	3630.654595
867	3630.119514
868	3629.267607
869	3628.07444
870	3626.755366
871	3626.212006
872	3625.814655
873	3625.181674
874	3623.849557
875	3622.536864
876	3622.02071
877	3621.55856
878	3621.023137
879	3619.975899
880	3618.703639
881	3617.784633
882	3616.848167
883	3616.148598
884	3615.194509
885	3614.689121
886	3613.439921
887	3612.999738
888	3612.594578
889	3611.331971
890	3610.653263
891	3609.259681
892	3608.80601
893	3607.262026
894	3606.461262
895	3605.375344
896	3603.778848
897	3601.869835
898	3601.517566
899	3600.895802
900	3600.32011
901	3600.034262
902	3599.035626
903	3597.506919
904	3596.783238
905	3596.43712
906	3595.007016
907	3594.212451
908	3593.602848
909	3592.246717
910	3591.020203
911	3589.43263
912	3588.508605
913	3587.488656
914	3586.529723
915	3586.117612
916	3584.954675
917	3583.847237
918	3583.319321
919	3582.53995
920	3581.335458
921	3580.273603
922	3578.53271
923	3577.597908
924	3576.584772
925	3574.515907
926	3573.553303
927	3572.394765
928	3571.748027
929	3570.800129
930	3569.432943
931	3568.254664
932	3567.438185
933	3566.091264
934	3564.678565
935	3563.76172
936	3562.7309
937	3561.738073
938	3561.105606
939	3560.140282
940	3559.251061
941	3558.454589
942	3557.011811
943	3554.921119
944	3554.493378
945	3552.474506
946	3550.961694
947	3549.972937
948	3548.961795
949	3548.578185
950	3546.916574
951	3545.846006
952	3545.157698
953	3544.266017
954	3543.062437
955	3542.712778
956	3542.319731
957	3540.770673
958	3539.561087
959	3538.779545
960	3537.483906
961	3537.019209
962	3536.235322
963	3535.132663
964	3534.500604
965	3534.214151
966	3532.740545
967	3531.766576
968	3531.013108
969	3530.568658
970	3529.990839
971	3529.161316
972	3528.51185
973	3526.925018
974	3525.333941
975	3524.654692
976	3524.188277
977	3522.350844
978	3521.476809
979	3520.5345
980	3519.391574
981	3517.907355
982	3516.918383
983	3516.077025
984	3515.688278
985	3514.499987
986	3513.3472
987	3512.789794
988	3512.229992
989	3511.880971
990	3511.188794
991	3510.820374
992	3510.006198
993	3508.886126
994	3507.996648
995	3507.604803
996	3507.189955
997	3506.195184
998	3505.390352
999	3504.99083
